CA Skateparks!,,,,,,,,,,,,,,,,,
Allan Witt Rotary Skate Park,Fairfield,Solano County,Woolner Ave. and Vine Dr.,,,,,,N,,,,,,,,
Travis AFB Skatepark,Fairfield,Solano County,,Y,,Y,,,N,,,,,,,,
Boys and Girls Club Skatepark,Fallbrook,San Diego County,445 E. Ivy St.,,,,,Not yet,N,,,,,,,,
Maldonado Skate Park,Firebaugh,Fresno County,Clyde Fannon Rd. and Thomas Conboy Rd.,,,,,,N,,,,,,,,
Mathy Bethune Skate Park,Florence,Los Angeles County,Hooper & Gage Ave,Y,Y,Y,,,N,,,,,,,,
Folsom Skatepark,Folsom,Sacramento County,1775 Creekside Dr.,N,Y,Y,,,N,,,,,,,,
Fort Bragg Skatepark,Fort Bragg,Mendocino County,"300 S Lincoln St, Fort Bragg, CA 95437",,,,Not On C.D.,,N,,,,,,,,
Frazier SkatePark,Frazier Park,Kern County,4001 Frazier Mountain Rd.,,,,,,N,,,,,,,,
Fremont Skate Park,Fremont,Alameda County,Central Park,Y,Y,,Duplicate,,N,,,,,,,,
Lion's Den Skatepark,Fresno,Fresno County,4650 N. Marks,Y,Y,N,,,N,,,,,,,,
Mosqueda,Fresno,Fresno County,4670 E. Butler,Y,,N,Bikes only; Duplicate,,N,,,,,,,,
Galt Skate Park,Galt,Sacramento County,660 Chabolla Ave,Y,N,,,,N,,,,,,,,
Arthur Lee Johnson Memorial Park Skatepark,Gardena,Los Angeles County,Arthur Lee Johnson Memorial Park,Y,N,N,,,N,,,,,,,,
Rowley Park Skatepark,Gardena,Los Angeles County,Rowley Park,Y,,,,,N,,,,,,,,
Gonzales Skatepark,Gonzales,Monterey County,205 Elko St & First St,,,,,,N,,,,,,,,
Grass Valley Skatepark,Grass Valley,Nevada County,Minnie St. and Butler,,,N,,,N,,,,,,,,
Greenfield Skatepark,Greenfield,Monterey County,Oak Ave. and 13th St.,,,,,,N,,,,,,,,
Skatepark - Gridley,Gridley,Butte County,Spruce St. and Washington St.,Y,,,,,N,,,,,,,,
Skatepark - Groveland,Groveland,Tuolumne County,18636 Main St,,,,,?,N,,,,,,,,
South County Skate Park,Grover Beach,San Luis Obispo County,1750 Ramona Avenue.,N,N,Y,,,N,,,,,,,,
Half Moon Bay Skatepark,Half Moon Bay,,,,,,,Not yet,N,,,,,,,,
H-town skatepark,Hanford,Kings County,415 Ford St.,Y,Y,N,,,N,,,,,,,,
Larry Guidi Skatepark,Hawthorne,Los Angeles County,12100 Inglewood Ave,Y,Y,Y,,,N,,,,,,,,
Hayward Skatepark,Hayward,Alameda County,W Tennyson Rd and Huntwood Ave,Y,N,N,,,N,,,,,,,,
Carson Warner Skatepark,Healdsburg,Sonoma County,1300 Grove St,,,,,,N,,,,,,,,
Hollister Skatepark,Hollister,San Benito County,2301 Memorial Dr,,,,,,N,,,,,,,,
Vans Off the Wall Skatepark,Huntington Beach ,Orange County,Gothard and McFadden,Y,Y,Y,,,N,,,,,,,,
Idyllwild Skatepark,Idyllwild,Riverside County,,,,,,,N,,,,,,,,
Imperial Beach Skate Park,Imperial Beach,San Diego County,425 Imperial Beach Blvd.,,,,,,N,,,,,,,,
Indio Skatepark,Indio,Riverside County,Jefferson Middle School,Y,Y,N,,,N,,,,,,,,
Darby Skatepark,Inglewood,Los Angeles County,3400 W. Arbor Vitae,Y,N,N,,,N,,,,,,,,
Rogers Park Skatepark,Inglewood,Los Angeles County,400 W. Beach,Y,N,,,,N,,,,,,,,
Vincent Park Skatepark,Inglewood,Los Angeles County,700 Warren Lane,Y,,,,,N,,,,,,,,
Amador Skate Park,Ione,Amador County,124 and W. Plymouth Hwy.,Y,N,Y,,,N,,,,,,,,
Harvard SkatePark,Irvine,Orange County,14701 Harvard Ave,Y,,Y,,,N,,,,,,,,
Altitude Skatepark,Julian,San Diego County,Jess Martin Park,N,,,,,N,,,,,,,,
King City Skatepark,King City,Monterey County,Broadway St and San Antonio Dr,Y,N,Y,,,N,,,,,,,,
Vault Park Skatepark,La Habra,Orange County,"811 East Lambert Road, La Habra, CA 90631",N,Y,,,,N,,,,,,,,
La Mesa Skatepark,La Mesa,San Diego County,8881 Dallas St.,N,,Y,,,N,,,,,,,,
Fritz Burns Park Skatepark,La Quinta,Riverside County,78107 Ave. 52,Y,N,,,,N,,,,,,,,
La Quinta Skatepark,La Quinta,Riverside County,79120 westward ho,Y,Y,N,,,N,,,,,,,,
Ladera Ranch Skatepark,Ladera Ranch,Orange County,Oneill Dr and Sienna Pky,Y,N,,,,N,,,,,,,,
Laguna Niguel Skateboard Park,Laguna Niguel,Orange County,Alicia Pkwy and Aliso Creek Road,N,Y,Y,,,N,,,,,,,,
McVicker Skatepark,Lake Elsinore,Riverside County,29355 Grand Ave.,,Y,Y,,,N,,,,,,,,
Serenity Park,Lake Elsinore,Riverside County,19685 Palomar Street,Y,N,,,,N,,,,,,,,
etnies Skatepark,Lake Forest,Orange County,20028 Lake Forest Dr.,Y,Y,Y,,,N,,,,,,,,
Lindo Lake Skatepark,Lakeside ,San Diego County,9841 Vine Street,Y,N,N,,,N,,,,,,,,
Lathrop Skate Park,Lathrop,San Joaquin County,450 Spartan Way,,,,,,N,,,,,,,,
Firemans Skatepark,Lemon Grove,San Diego County,3120 School Ln,Y,N,,,,N,,,,,,,,
McBean Skatepark,Lincoln,Placer County,625 McBean Park Dr.,,N,Y,,,N,,,,,,,,
Livermore Skatepark,Livermore,Alameda County,Pacific Ave and S Livermore Ave,N,N,Y,,,N,,,,,,,,
Lodi Skate Park,Lodi,San Joaquin County,1145 S. Ham Ln.,N,,Y,,,N,,,,,,,,
Lone Pine Skate Plaza,Lone Pine,Inyo County,S. Main Street and Inyo St.,Y,,,,,N,,,,,,,,
Orizaba Skate Spot,Long Beach,Los Angeles County,1435 Orizaba Ave,,,,,,N,,,,,,,,
Blacc Mike Skatepark,Long Beach,Los Angeles County,14th St and Pacific,,,,,,N,,,,,,,,
El Dorado Skatepark,Long Beach,Los Angeles County,2800 Studebaker Road,Y,,Y,,,N,,,,,,,,
McBride Skate Park Plaza,Long Beach,Los Angeles County,1550 Martin Luther King Jr Ave,Y,N,,,,N,,,,,,,,
Watts Skatepark,Los Angeles,Los Angeles County,10950 South Central Avenue,,,,,,N,,,,,,,,
Nickerson Gardens Skate Park,Los Angeles,Los Angeles County,11251 Compton Ave,Y,N,N,,,N,,,,,,,,
Ted Walkins Skatepark,Los Angeles,Los Angeles County,1335 E 103rd St,Y,,N,,,N,,,,,,,,
MONITOR PARK Skatepark,Los Angeles,Los Angeles County,1810 E 114th St Los Angeles,Y,,,,,N,,,,,,,,
Imperial Courts Skate Park,Los Angeles,Los Angeles County,2250 E. 114th St.,Y,N,N,,,N,,,,,,,,
Los Osos Skatepark,Los Osos,San Luis Obispo County,2180 Palisades Avenue,Y,N,Y,,,N,,,,,,,,
Loyalton SkatePark,Loyalton,Sierra County,beckwith rd. and poole lane,Y,N,Y,,,N,,,,,,,,
Lynwood Skatepark,Lynwood,Los Angeles County,11330 Bullis Road,N,Y,Y,,,N,,,,,,,,
Zero Gravity Skate Park,Madera,Madera County,920 Gateway Dr.,N,Y,,,,N,,,,,,,,
Mammoth Skatepark,Mammoth Lakes,Mono County,Sawmill Cutoff Rd and Sawmill rd.,Y,,,,?,N,,,,,,,,
The Volcom Brothers Skatepark,Mammoth Lakes,Mono County,Wagon Wheel Rd. and Meridian Blvd.,Y,N,Y,,,N,,,,,,,,
Manteca Skatepark,Manteca,San Joaquin County,Center Street and Elm Ave.,Y,N,,,,N,,,,,,,,
Marina Skatepark,Marina,Monterey County,304 Hillcrest Ave.,Y,N,Y,,,N,,,,,,,,
Mariposa Skatepark,Mariposa,Mariposa County,4998 County Park Rd,N,N,N,,,N,,,,,,,,
Martinez SkatePark,Martinez,Contra Costa County,243 N. Court St.,Y,N,N,,,N,,,,,,,,
Miners Park,Marysville,Yuba County,201 east 14th st,Y,,,,,N,,,,,,,,
Mather Sports Center Skatepark,Mather,Sacramento County,3755 Schriever Avenue,Y,Y,N,,,N,,,,,,,,
Audie Ranch Skatepark,Menifee,Riverside County,Newport Road,Y,Y,,,,N,,,,,,,,
Burgess Skate Park,Menlo Park,San Mateo County,700 Alma Street.,Y,,Y,,,N,,,,,,,,
Applegate Skate Park,Merced,Merced County,678 West 18th Street,N,,,,,N,,,,,,,,
Mill Valley Skate Park,Mill Valley,Marin County,425 Sycamore Ave,,,,,,N,,,,,,,,
Modesto Skatepark,Modesto,Stanislaus County,Forest Glenn Drive at Sylvan Avenue,Y,N,Y,,,N,,,,,,,,
Creekside Park Skatepark,Monte Rio,Sonoma County,"9705 Main St, Monte Rio, CA 95462",,,,,,N,,,,,,,,
El Estero Skatepark,Monterey Bay,Monterey County,El Estero Park,Y,Y,Y,,,N,,,,,,,,
Moraga Skatepark,Moraga,Contra Costa County,moraga rd and St. Mary's Rd.,Y,N,Y,,,N,,,,,,,,
Moreno Valley Skateboard Park,Moreno Valley,Riverside County,W Street and 6th Street,N,,Y,,,N,,,,,,,,
Morgan Hill Skate Park,Morgan Hill,Santa Clara County,171 Edmondson Dr.,Y,N,Y,,,N,,,,,,,,
Rockies Skatepark,Morro Bay,San Luis Obispo County,231 Atascadero Rd.,Y,Y,Y,,,N,,,,,,,,
Mires's Skatepark,Mountain View,Santa Clara County,S Rengstorff Ave and Central Expy,Y,N,Y,,,N,,,,,,,,
Cal Oaks Skatepark,Murrieta,Riverside County,40606 California Oaks Road,N,,Y,,,N,,,,,,,,
Napa Rip Zone Skatepark,Napa,Napa County,Pearl St and West St,Y,Y,N,,,N,,,,,,,,
Kimball Skatepark,National City,San Diego County,1430 D Ave.,Y,Y,,,,N,,,,,,,,
Needles Skatepark,Needles,San Bernardino County,1185 Army Rd.,Y,Y,,,,N,,,,,,,,
Nipomo Skatepark,Nipomo,San Luis Obispo County,,,,,,Not yet,N,,,,,,,,
Hamilton Skatepark,Novato,Marin County,1200 Hamilton Parkway,Y,N,Y,,,N,,,,,,,,
Boys and Girls Club Skatepark,Oakhurst,Madera County,,N,N,Y,,,N,,,,,,,,
Bordertown Skatepark,Oakland,Alameda County,34th St. and Louise,Y,N,N,,,N,,,,,,,,
Youth Uprising Skate Plaza,Oakland,Alameda County,8601-8751 MacArthur Blvd,,,,,,N,,,,,,,,
Ocean Beach Skatepark (Robb Field),Ocean Beach,San Diego County,2525 Bacon Street,Y,N,N,Go to Hodads for food,,N,,,,,,,,
Alex Road Skatepark,Oceanside,San Diego County,,Y,N,,,,N,,,,,,,,
Oakdale Skatepark,Oakdale,Stanislaus County,Corner of S. Yosemite and J Street,Y,Y,N,,,N,,,,,,,,
Bishop Skatepark,Oceanside,San Diego County,"Oakdale, CA 95361",Y,N,,,,N,,,,,,,,
John Landes Skatepark,Oceanside,San Diego County,4125 Lewis St,Y,,,,,N,,,,,,,,
Libby Lake Park,Oceanside,San Diego County,504 Calle Montecito,Y,,,,,N,,,,,,,,
Martin Luther King Jr. Skatepark,Oceanside,San Diego County,4300 Mesa Dr.,Y,,N,,,N,,,,,,,,
Ojai Skatepark,Ojai,Ventura County,414 E. Ojai Ave,,,Y,,,N,,,,,,,,
Vans Skatepark,Orange,Orange County,20 City Blvd West,N,Y,Y,,,N,,,,,,,,
Orange Cove Skatepark,Orange Cove,Fresno County,S. Anchor Ave. and Parlier Ave.,Y,Y,Y,,,N,,,,,,,,
Bedrock Skate and Bike Park,Oroville,Butte County,1100 Feather River Blvd,Y,N,Y,,,N,,,,,,,,
Oxnard Skatepark,Oxnard,Ventura County,3250 South Rose Ave,Y,N,Y,,,N,,,,,,,,
Pacifica Skatepark,Pacifica,San Mateo County,540 Crespi Dr.,Y,,Y,,,N,,,,,,,,
Pala Skatepark,Pala,San Diego County,12100 Pala Mission Rd.,N,,,,,N,,,,,,,,
Palm Desert Skatepark,Palm Desert,Riverside County,43906 San Pablo Ave.,N,,Y,,,N,,,,,,,,
Sunrise Plaza Skatepark,Palm Springs,Riverside County,401 South Pavilion Way,Y,Y,Y,Hit up Tyler Leone!,,N,,,,,,,,
Palmdale Skatepark,Palmdale,Los Angeles County,39700 30th St W.,Y,Y,,,,N,,,,,,,,
Chris O'Leary Skatepark,Palmdale,Los Angeles County,Domenic Massari Park,Y,Y,Y,,,N,,,,,,,,
Greer SkatePark,Palo Alto,Santa Clara County,W Bayshore Rd and Colorado Ave,Y,N,Y,,,N,,,,,,,,
Village Skatepark,Paramount,Los Angeles County,7700 Somerset Ave.,Y,,Y,,,N,,,,,,,,
Pioneer Skatepark,Paso Robles,San Luis Obispo County,Pioneer Park,Y,N,N,Not On C.D.,,N,,,,,,,,
Paragon Skate Park,Perris,Riverside County,Placentia Ave. and Redlands Ave.,Y,,,,,N,,,,,,,,
The Compound Skatepark,Perris,Riverside County,18700 Lake Perris Dr.,N,Y,Y,,,N,,,,,,,,
Petaluma Skatepark,Petaluma,Sonoma County,E Washington St and Fairgrounds Dr,Y,N,Y,,,N,,,,,,,,
Ramp Rats Skatepark,Petaluma,Sonoma County,1004 Lakeville St.,N,Y,,,,N,,,,,,,,
Piedmont Skatepark,Piedmont,Alameda County,Moraga Ave and Red Rock Rd,Y,N,Y,,,N,,,,,,,,
Joes Skatepark,Placerville,El Dorado County,216 Armory Rd.,,,,,,N,,,,,,,,
Pleasanton Skatepark,Pleasanton,Alameda County,Hopyard Rd and Parkside Dr,Y,N,N,,,N,,,,,,,,
Pleasanton Skatepark #2,Pleasanton,Alameda County,Stoneridge Dr and Johnson Dr,Y,N,Y,,,N,,,,,,,,
Porterville Skatepark,Porterville,San Joaquin County,1501 W Henderson Ave,,,,,,N,,,,,,,,
Portola Skatepark,Portola,Plumas County,501 South Gulling St,Y,,,,,N,,,,,,,,
Poway Skatepark,Poway,San Diego County,13090 Civic Center Drive,Y,Y,Y,,,N,,,,,,,,
Quincy Skatepark,Quincy,Plumas County,1308 pioneer rd.,,,,,,N,,,,,,,,
Red Bluff Skatepark,Red Bluff,Tehama County,658 Diamond Ave,Y,N,N,,,N,,,,,,,,
Redding Skatepark,Redding,Shasta County,Lake Redding Park,Y,N,N,,,N,,,,,,,,
Redlands Skatepark,Redlands,San Bernardino County,,,,,,Not yet,N,,,,,,,,
Phil Shao Memorial Skatepark,Redwood City,San Mateo County,1400 Roosevelt Avenue,Y,Y,Y,,,N,,,,,,,,
Nichol SkatePark,Richmond,Contra Costa County,3230 Macdonald Ave,Y,,N,,,N,,,,,,,,
China Lake Skatepark,Ridgecrest,Kern County,E. French Ave and La Mirage Lane,Y,,,,,N,,,,,,,,
Rio Vista Skate Park,Rio Vista,Solano County,789 St Francis Way,,,,,,N,,,,,,,,
Curt Pernice Skate Park,Ripon,San Joaquin County,"1250 Hughes Ln, Ripon, CA 95366",,,,,,N,,,,,,,,
Ripon Skatepark,Ripon,San Joaquin County,N Wilma Ave and Hughes Ln,Y,,Y,,,N,,,,,,,,
Riverbank Skate Park,Riverbank,Stanislaus County,First and Santa Fe,Y,N,Y,,,N,,,,,,,,
Temescal Valley Skate Spot,Riverside,Riverside County,25655 Santiago Canyon Road,Y,Y,,,,N,,,,,,,,
Rocklin Skatepark,Rocklin,Placer County,5300 5th St,Y,,Y,,,N,,,,,,,,
Roseville Skatepark,Roseville,Placer County,1550 Maidu Dr.,N,N,Y,,,N,,,,,,,,
28th and B Skate Park,Sacramento,Sacramento County,20 28th St.,,Y,Y,,,N,,,,,,,,
Granite SkatePark,Sacramento,Sacramento County,Ramona Ave and Cucamonga Ave.,,Y,N,,,N,,,,,,,,
McClatchy Park Skatepark,Sacramento,Sacramento County,McClatchy Park,Y,,,,,N,,,,,,,,
Tanzinite Skatepark,Sacramento,Sacramento County,Tanzanite Way and Bilsted Way,Y,N,,,,N,,,,,,,,
Wild Rose Skatepark and Snake run,Sacramento,Sacramento County,5200 Kankakee Drive,Y,N,,,,N,,,,,,,,
Salilnas Skatepark,Salinas,Monterey County,Constitution Blvd At Las Casitas,Y,N,Y,,,N,,,,,,,,
Campland on the Bay Skatepark,San Diego,San Diego County,Pacific Beach Dr. and Olney St.,Y,Y,Y,,,N,,,,,,,,
Carmel Valley Skatepark,San Diego,San Diego County,12600 El Camino Real,Y,Y,,,,N,,,,,,,,
Charles L Lewiss III Memorial Skate Park,San Diego,San Diego County,6759 Paradise Valley Rd,Y,N,,,,N,,,,,,,,
Kroc Center Skatepark,San Diego,San Diego County,6845 University Avenue,N,Y,Y,,,N,,,,,,,,
City Heights Skatepark,San Diego,San Diego County,3642-3680 Central Ave,N,Y,Y,,,N,,,,,,,,
Linda Vista Skatepark,San Diego,San Diego County,,,,,,Not yet,N,,,,,,,,
Memorial Skatepark,San Diego,San Diego County,702 South 30th Street,Y,,Y,,,N,,,,,,,,
Rancho Penasquitos Skatepark,San Diego,San Diego County,10111 Carmel Mountain Road,Y,,Y,,,N,,,,,,,,
Washington Street Skatepark,San Diego,San Diego County,W Washington St and Pacific Hwy,Y,N,N,,,N,,,,,,,,
San Fernando Skatepark,San Fernando,Los Angeles County,Workman and San Fernando,,,,,?,N,,,,,,,,
Potrero Del Sol Skatepark,San Francisco,San Francisco County,Potrero Ave and Cesar Chavez,,Y,,,,N,,,,,,,,
Soma Skate Plaza,San Francisco,San Francisco County,Duboce Ave and Stevenson St.,Y,,N,,,N,,,,,,,,
Cunningham Regional Skate Park,San Jose,Santa Clara County,2305 S White Rd.,N,N,Y,,,N,,,,,,,,
Great Oaks Skatepark,San Jose,Santa Clara County,5200 Snow Dr.,Y,N,N,,,N,,,,,,,,
Mayfair Par,San Jose,Santa Clara County,2039 Kammerer Ave.,Y,,N,,,N,,,,,,,,
Plata Arroyo Skatepark,San Jose,Santa Clara County,168 N King Rd,Y,N,Y,,,N,,,,,,,,
Roosevelt Park,San Jose,Santa Clara County,Santa Clara St. and 20th St.,Y,,N,,,N,,,,,,,,
Stonegate SkatePark,San Jose,Santa Clara County,Tuers Rd. and Gassmann Dr.,,,,,,N,,,,,,,,
THRASHER PARK,San Leandro,Alameda County,Davis St. and Doolittle Dr.,Y,,Y,,,N,,,,,,,,
Arroyo Skate Park,San Lorenzo,Alameda County,15837 Nielson Ave,,,,,,N,,,,,,,,
Hollandia Skatepark,San Marcos,San Diego County,12 Mission Hills Court,Y,,,,,N,,,,,,,,
San Mateo Skatepark,San Mateo,San Mateo County,928 Ocean View Ave,Y,N,Y,,,N,,,,,,,,
San Rafael Skatepark,San Rafael,Marin County,Smith Ranch Road,Y,N,Y,,,N,,,,,,,,
San Ramon Skatepark,San Ramon,Contra Costa County,Bollinger Canyon Road and Market Place,Y,,Y,,,N,,,,,,,,
Santa Clarita Skatepark,Santa Clarita,Los Angeles County,20850 Centre Pointe Parkway,Y,Y,,,,N,,,,,,,,
City of Santa Cruz Skate Park,Santa Cruz,Santa Cruz County,225 San Lorenzo Blvd,Y,N,Y,,,N,,,,,,,,
Derby Skatepark,Santa Cruz,Santa Cruz County,400 Woodland Way,Y,,N,,,N,,,,,,,,
Grind Out Hunger,Santa Cruz,Santa Cruz County,912 41st Ave.,N,Y,,,,N,,,,,,,,
Santa Paula Skatepark,Santa Paula,Ventura County,S. 10th St. At E. Ventura St.,Y,,Y,,,N,,,,,,,,
Santa Rosa Skatepark,Santa Rosa,Sonoma County,1725 Fulton Rd.,Y,,N,,,N,,,,,,,,
Santee Skatepark,Santee,San Diego County,10250 Woodglen Vista Drive,Y,N,Y,,,N,,,,,,,,
Scotts Valley Skate Park,Scotts Valley,Santa Cruz County,361 Kings Village Road,Y,N,Y,,,N,,,,,,,,
Laguna Skate Garden,Sebastopol,Sonoma County,Laguna Park Way and Flynn St.,Y,,,,,N,,,,,,,,
Skatepark - Selma,Selma,Fresno County,Whitson & Second St,Y,Y,N,,,N,,,,,,,,
Shafter Skatepark,Shafter,Kern County,,Y,N,,,,N,,,,,,,,
CV Skatepark,Shasta Lake City,Shasta County,1525 Median Ave,Y,,N,,,N,,,,,,,,
Soledad Skate Park,Soledad,Monterey County,Ticino St & Soledad St,,,,,,N,,,,,,,,
Hans Christian Anderson Skate Park,Solvang,Santa Barbara County,633 Chalk Hill RD.,Y,N,N,,,N,,,,,,,,
Sonoma Skatepark,Sonoma,Sonoma County,,,,,,,N,,,,,,,,
Sonora Skatepark,Sonora,Tuolumne County,330 Greenley Rd.,Y,N,N,,,N,,,,,,,,
South Gate Skatepark,South Gate,Los Angeles County,9520 Hidreth,Y,N,Y,,,N,,,,,,,,
Bijou Skatepark,South Lake Tahoe,El Dorado County,Al Tahoe Blvd.,Y,N,N,,,N,,,,,,,,
Skatepark,St. Helena,Napa County,464 Crane Ave.,,,,,,N,,,,,,,,
Camp Woodward West,Stallion Springs,Kern County,18100 Lucaya Way,N,Y,Y,,,N,,,,,,,,
Stockton Skatepark,Stockton,San Joaquin County,6000 N. El Dorado St.,Y,N,N,,,N,,,,,,,,
Fair Oaks SkatePark,Sunnyvale,Santa Clara County,460 N. Wolfe Rd.,Y,,Y,,,N,,,,,,,,
Lake wood skate park,Sunnyvale,Santa Clara County,834 Lakechime Drive,Y,Y,Y,,,N,,,,,,,,
Memorial Skatepark,Susanville,Lassen County,1195 North St.,Y,,,,,N,,,,,,,,
Ollie Mountain Skatepark,Tehachapi,Kern County,400 W. D St.,Y,N,N,,,N,,,,,,,,
Temecula Skatepark,Temecula,Riverside County,90920 Rancho Vista Rd.,N,Y,Y,,,N,,,,,,,,
Templeton Skatepark,Templeton,San Luis Obispo County,6th Street and S Main Street,Y,,N,,,N,,,,,,,,
Tierrasanta Skatepark,Tierrasanta,San Diego County,4559 Shields St,Y,N,Y,,,N,,,,,,,,
China Town Skatepark,Tracy,San Joaquin County,W Grant Line Rd and Parker Ave,Y,N,,,,N,,,,,,,,
Truckee Skatepark,Truckee,Nevada County,Estates Dr. and Brockway Rd.,Y,N,N,,,N,,,,,,,,
Tulare Skate Park,Tulare,Tulare County,Tulare and I Street,Y,,Y,,,N,,,,,,,,
Turlock Skatepark,Turlock,Stanislaus County,Starr Ave. and N. Denair Ave.,,,,,,N,,,,,,,,
Luckie Skatepark,Twentynine Palms,San Bernardino County,74362 Joe Davis Drive,Y,Y,N,,,N,,,,,,,,
Ukiah Skatepark,Ukiah,Mendocino County,,Y,,,,,N,,,,,,,,
Union City Skatepark,Union City,Alameda County,Royal Ann Dr and Alvarado Niles Rd,,,,,,N,,,,,,,,
Upland Skatepark,Upland,San Bernardino County,San Bernardino Rd. and N. 13th Ave.,Y,Y,Y,,,N,,,,,,,,
Vacaville Skatepark,Vacaville,Solano County,Alamo Dr and Marshall Rd,N,N,Y,,,N,,,,,,,,
Wardlaw Skate Park,Vallejo,Solano County,1805 Ascot Pkwy,Y,N,N,,,N,,,,,,,,
Valley Center DIY skatepark,Valley Center,San Diego County,,Y,,,,,N,,,,,,,,
Vandenburg AFB Skatepark,Vandenburg AFB,Santa Barbara County,"34.750807,-120.531562",,,,,,N,,,,,,,,
Providence Skatepark,Visalia,San Joaquin County,300 N. Jacob st.,Y,,Y,,,N,,,,,,,,
Academy Skatepark,Vista,San Diego County,1410 Vantage Court,N,Y,,,,N,,,,,,,,
Aura Skateboard Training Facility,Vista,San Diego County,1074 La Mirada Court,N,Y,N,,,N,,,,,,,,
Vista Skatepark (Bowl),Vista,San Diego County,400 N. Santa Fe Avenue,,Y,,,,N,,,,,,,,
Vista Skatepark (Street),Vista,San Diego County,510 N. Santa Fe Avenue,,Y,,,,N,,,,,,,,
Walnut Creek Skate Park,Walnut Creek,Contra Costa County,Heather Drive and Marchbanks Drive,Y,Y,Y,,,N,,,,,,,,
Ramsey Skate Park,Watsonville,Santa Cruz County,,Y,N,Y,,,N,,,,,,,,
WATSONVILLE SKATE PARK ,Watsonville,Santa Cruz County,1301 Main St.,Y,,N,,,N,,,,,,,,
Skatepark - Watts,Watts,Los Angeles County,1765 East 107th Street,Y,,,,,N,,,,,,,,
Weed Skatepark,Weed,Siskiyou County,1299 Railroad Ave,Y,,,,,N,,,,,,,,
Willits Skate Park,Willits,Mendocino County,75 North Main Street,Y,N,Y,,,N,,,,,,,,
Pat Elsbree Skate Park,Windsor,Sonoma County,9680 Brooks Road South,Y,,N,,,N,,,,,,,,
Yreka Skate Park,Yreka,Siskiyou County,W. Miner Street and Gold Street,,,,,,N,,,,,,,,
Church of Glad Tidings Skatepark,Yuba City,Sutter County,1179 Eager Road,Y,Y,,,,N,,,,,,,,
Yuba City Skatepark,Yuba City,Sutter County,859 Gray Ave,Y,,,,,N,,,,,,,,
Yucaipa Skatepark,Yucaipa,San Bernardino County,13th Street at Yucaipa Blvd.,Y,N,,,,N,,,,,,,,
Yucca Valley Skatepark,Yucca Valley,San Bernardino County,Community Center Park,Y,N,N,,,N,,,,,,,,
